Species,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,Mexico,pochutla,250,1 kg,AMECAFE,2012,"September 4th, 2012",Typica,Washed / Wet,7.33,7.25,7.0,7.08,7.08,7.0,10.0,10.0,10.0,7.0,79.75,0.1,1,0.0,Green,22,"September 4th, 2013",AMECAFE,m,1050.0,1050.0,1050.0
Arabica,Guatemala,antigua,275,69 kg,Specialty Coffee Association,2012,"July 23rd, 2012",Bourbon,Washed / Wet,7.58,7.33,7.5,7.33,7.0,7.33,9.33,9.33,9.33,7.67,79.75,0.0,0,0.0,Green,4,"July 23rd, 2013",Specialty Coffee Association,m,1759.5489542435423,1808.8438029520298,1784.196378597786
Arabica,Mexico,tuxtla gutierrez,36,1 kg,AMECAFE,2012,"June 6th, 2012",Typica,Washed / Wet,7.25,6.83,6.92,7.08,7.25,7.08,10.0,10.0,10.0,7.33,79.75,0.12,0,0.0,None,7,"June 6th, 2013",AMECAFE,m,1100.0,1100.0,1100.0
Arabica,Guatemala,oriente,25,69 kg,Asociacion Nacional Del Café,2016,"June 22nd, 2017",Bourbon,Washed / Wet,7.42,7.42,7.25,7.58,7.42,7.33,9.33,9.33,9.33,7.25,79.67,0.1,0,2.0,Green,1,"June 22nd, 2018",Asociacion Nacional Del Café,ft,1219.2,1219.2,1219.2
Arabica,El Salvador,cacahuatique,275,69 kg,Salvadoran Coffee Council,2016,"March 23rd, 2017",Bourbon,Washed / Wet,7.25,7.08,7.0,6.83,7.33,7.17,10.0,10.0,10.0,7.0,79.67,0.0,0,0.0,Bluish-Green,12,"March 23rd, 2018",Salvadoran Coffee Council,m,1250.0,1250.0,1250.0
Arabica,Thailand,thailand,1,1 kg,Specialty Coffee Association,2013,"June 16th, 2014",Other,Washed / Wet,6.92,7.17,6.83,7.42,7.17,7.08,10.0,10.0,10.0,7.08,79.67,0.12,0,0.0,Blue-Green,0,"June 16th, 2015",Specialty Coffee Association,m,800.0,800.0,800.0
Arabica,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,2013,"June 27th, 2013",Bourbon,Washed / Wet,7.5,7.0,6.83,7.08,7.08,7.17,10.0,10.0,10.0,7.0,79.67,0.11,0,0.0,Green,6,"June 27th, 2014",Asociacion Nacional Del Café,ft,1310.64,1310.64,1310.64
Arabica,Mexico,"la concordia, chiapas",310,1 kg,AMECAFE,2013,"March 29th, 2013",Typica,Washed / Wet,7.42,7.25,6.83,7.58,7.17,6.58,10.0,10.0,10.0,6.83,79.67,0.12,0,0.0,Green,6,"March 29th, 2014",AMECAFE,m,1400.0,1400.0,1400.0
Arabica,Mexico,"tenango de doria, hidalgo",10,1 kg,AMECAFE,2012,"September 27th, 2012",Caturra,Washed / Wet,7.33,7.17,7.0,6.75,7.08,7.0,10.0,10.0,10.0,7.33,79.67,0.13,5,0.0,None,6,"September 27th, 2013",AMECAFE,m,975.0,975.0,975.0
Arabica,Mexico,"coatepec, coatepec",253,1 kg,AMECAFE,2012,"June 4th, 2012",Mundo Novo,Washed / Wet,6.92,7.17,7.17,7.17,7.08,7.08,10.0,10.0,10.0,7.08,79.67,0.0,0,0.0,None,9,"June 4th, 2013",AMECAFE,m,1264.0,1264.0,1264.0
Arabica,Thailand,Unknown,5,1 lbs,Specialty Coffee Association,2012,"April 9th, 2010",Peaberry,Washed / Wet,7.17,7.17,7.0,7.0,7.25,6.92,10.0,10.0,10.0,7.17,79.67,0.0,1,0.0,None,0,"April 9th, 2011",Specialty Coffee Association,m,1759.5489542435423,1808.8438029520298,1784.196378597786
Arabica,Mexico,tepetzingo,50,1 kg,AMECAFE,2012,"September 17th, 2012",Typica,Washed / Wet,7.08,7.0,6.92,7.33,7.25,7.08,10.0,10.0,10.0,6.92,79.58,0.12,0,0.0,None,11,"September 17th, 2013",AMECAFE,m,1250.0,1250.0,1250.0
Arabica,Mexico,la concordia,250,1 kg,AMECAFE,2012,"August 30th, 2012",Caturra,Washed / Wet,7.25,6.92,6.92,7.33,7.25,7.0,10.0,10.0,10.0,6.92,79.58,0.13,0,0.0,Green,5,"August 30th, 2013",AMECAFE,m,1550.0,1550.0,1550.0
Arabica,Colombia,huila,250,70 kg,Almacafé,4T/10,"February 9th, 2011",Other,Washed / Wet,7.25,7.17,7.0,6.75,7.17,7.33,10.0,10.0,10.0,6.92,79.58,0.1,0,0.0,None,4,"February 9th, 2012",Almacafé,m,1800.0,1800.0,1800.0
Arabica,Guatemala,"chuva, san marcos",223,69 kg,Specialty Coffee Association,2009/2010,"January 13th, 2011",Other,Washed / Wet,7.08,7.0,6.83,7.33,7.25,7.0,10.0,10.0,10.0,7.08,79.58,0.17,1,0.0,None,19,"January 13th, 2012",Specialty Coffee Association,ft,1066.8,1584.96,1325.88
Arabica,Nicaragua,jinotega,275,69 kg,Asociación de Cafés Especiales de Nicaragua,2015,"July 6th, 2015",Caturra,Natural / Dry,6.92,6.92,7.0,7.42,7.25,7.0,10.0,10.0,10.0,7.0,79.5,0.12,0,0.0,Green,6,"July 5th, 2016",Asociación de Cafés Especiales de Nicaragua,m,1050.0,1050.0,1050.0
Arabica,Taiwan,nantou,10,2 kg,Blossom Valley International,2014,"May 23rd, 2015",Typica,Natural / Dry,6.92,7.0,7.17,7.0,7.42,7.0,10.0,10.0,10.0,7.0,79.5,0.0,0,0.0,None,1,"May 22nd, 2016",Blossom Valley International,m,700.0,700.0,700.0
Arabica,Colombia,cundinamarca,250,70 kg,Almacafé,2013,"June 21st, 2013",Caturra,Washed / Wet,7.83,7.5,7.42,7.42,7.67,7.5,10.0,6.67,10.0,7.5,79.5,0.0,0,0.0,Green,2,"June 21st, 2014",Almacafé,m,1550.0,1550.0,1550.0
Arabica,Mexico,la concordia,250,1 kg,AMECAFE,2012,"August 1st, 2012",Caturra,Washed / Wet,7.25,7.08,6.92,7.25,7.58,7.08,9.33,10.0,10.0,7.0,79.5,0.12,1,0.0,Green,20,"August 1st, 2013",AMECAFE,m,1550.0,1550.0,1550.0
